price,carat,y,cut,color,clarity
3446,0.78,5.98,1,3,4
732,0.31,4.32,2,1,6
475,0.3,4.34,2,3,6
9552,1.04,6.46,2,2,3
1276,0.65,5.62,2,7,6
3662,0.9,6.19,1,2,7
446,0.31,4.36,3,5,6
2902,0.71,5.59,5,2,5
18193,2.05,8.09,2,2,6
4791,1.1,6.71,3,2,6
5644,1.19,6.91,3,6,4
2340,0.65,5.53,2,3,4
709,0.3,4.32,2,1,6
2400,0.71,5.79,2,4,6
1240,0.33,4.5,2,3,1
11853,1.3,7.11,2,4,3
844,0.3,4.31,1,2,5
11197,1.29,7.05,2,3,4
2297,0.69,5.69,2,4,6
787,0.28,4.3,2,2,2
1046,0.31,4.34,2,4,2
8268,1.4,7.21,3,1,7
4781,1.01,6.31,6,4,6
1410,0.5,5.24,1,2,6
13528,1.5,7.3,3,4,5
7648,1.03,6.5,2,4,4
5034,1.01,6.27,5,2,6
6139,1.51,7.37,3,2,8
2765,0.76,5.91,2,5,6
5726,1.21,6.85,3,6,4
2374,0.74,5.81,2,6,5
445,0.32,4.41,2,4,6
1657,0.59,5.4,2,2,5
4455,1.02,6.36,1,3,6
13744,2.01,7.78,5,7,5
854,0.33,4.4,2,3,5
3087,0.91,6.19,3,5,6
1433,0.43,4.86,2,4,1
493,0.23,3.96,2,3,4
1689,0.52,5.21,3,2,5
500,0.3,4.27,6,3,6
749,0.34,4.55,2,1,4
11400,2.0,7.88,6,6,7
15797,1.7,7.67,2,4,5
940,0.33,4.51,2,1,5
6577,1.01,6.49,3,2,5
1789,0.59,5.33,2,2,6
849,0.35,4.55,2,2,3
2762,0.8,6.07,2,3,7
5729,1.1,6.54,1,5,5
6387,1.1,6.59,2,4,5
492,0.33,4.42,2,1,7
6816,1.51,7.13,5,5,7
1050,0.4,4.68,1,3,4
594,0.33,4.34,1,6,5
6653,1.32,7.09,1,6,6
1846,0.54,5.24,2,5,2
1286,0.43,4.86,2,4,1
1216,0.42,4.81,2,2,3
7528,1.0,6.39,3,2,4
1860,0.52,5.13,3,1,4
2313,0.71,5.75,2,5,6
1076,0.41,4.71,1,3,4
1722,0.51,5.12,3,3,4
984,0.35,4.53,2,5,1
384,0.26,4.11,3,2,6
4155,1.0,6.59,6,3,7
5143,1.03,6.62,2,4,6
4214,0.93,6.34,3,1,7
6644,1.07,6.5,1,4,5
814,0.32,4.47,2,5,1
802,0.32,4.43,2,4,2
16425,2.0,8.11,6,1,7
2335,0.7,5.8,3,5,5
847,0.4,4.86,3,3,4
4791,1.0,6.34,1,5,5
2905,0.7,5.62,3,4,3
1755,0.55,5.34,3,1,5
1388,0.52,5.15,6,2,6
2832,0.82,5.97,2,5,6
558,0.31,4.34,2,2,7
801,0.33,4.47,3,3,3
16450,2.28,8.36,2,7,5
2180,0.54,5.26,2,3,3
10728,1.56,7.43,2,5,6
3113,0.82,6.07,2,6,4
752,0.33,4.44,2,5,2
3328,0.79,6.01,2,1,6
868,0.35,4.58,2,5,1
894,0.43,4.8,3,2,6
7000,1.24,6.86,1,3,6
1862,0.65,5.6,2,2,6
2753,0.57,5.33,1,2,4
17357,2.02,8.16,3,6,6
1065,0.63,5.56,2,7,7
3447,0.9,6.11,6,5,6
4916,1.1,6.61,1,5,6
3391,0.72,5.83,2,6,5
5238,1.09,6.62,2,5,6
4478,1.02,6.55,1,2,7
612,0.34,4.43,6,2,7
904,0.41,4.7,3,3,6
2287,0.7,5.67,2,6,6
4155,1.06,6.52,1,3,6
605,0.32,4.33,1,5,5
824,0.36,4.62,2,6,2
2987,0.7,5.7,2,4,4
2473,0.7,5.74,6,2,5
2593,0.7,5.71,3,3,5
1356,0.61,5.43,3,6,6
4788,1.0,6.52,2,5,6
851,0.36,4.56,1,1,6
2398,0.72,5.78,2,2,7
8759,1.21,6.83,2,4,4
577,0.25,3.98,1,5,2
6980,1.45,7.16,3,7,5
2985,0.7,5.69,3,1,5
982,0.4,4.78,2,3,4
7661,1.52,7.38,2,6,7
789,0.31,4.34,1,2,2
780,0.33,4.43,1,6,2
14383,1.6,7.59,3,4,5
5599,1.01,6.49,1,1,6
2510,0.56,5.36,2,4,3
2321,0.8,5.87,3,7,4
1838,0.51,5.1,3,1,4
468,0.3,4.28,1,2,7
706,0.35,4.54,1,5,3
8529,1.01,6.1,5,2,2
7667,1.05,6.61,3,4,3
5408,1.2,6.74,3,6,6
3160,0.9,6.2,3,5,7
4242,1.01,6.38,2,1,7
943,0.43,4.91,3,4,4
1244,0.52,5.14,3,4,6
3478,0.72,5.86,2,4,4
6095,1.31,7.08,1,5,5
2858,0.7,5.7,1,2,5
13588,1.51,7.41,2,1,6
5456,1.11,6.65,2,5,6
1909,0.77,5.86,1,7,6
15312,2.0,8.11,1,5,7
11580,1.51,7.32,2,5,4
435,0.31,4.4,2,2,7
9148,1.1,6.63,2,4,3
5599,1.01,6.41,2,2,6
2034,0.59,5.38,3,3,4
1698,0.72,5.67,3,5,7
3345,0.7,5.71,2,2,4
2863,0.71,5.75,1,1,6
758,0.32,4.46,2,1,5
979,0.38,4.65,2,2,4
625,0.31,4.35,1,4,4
1939,0.63,5.49,3,1,6
15475,2.01,7.94,1,6,4
7404,1.13,6.72,1,4,4
723,0.33,4.45,1,2,5
810,0.33,4.46,2,3,3
2623,0.7,5.71,2,6,6
6173,1.51,7.36,1,6,7
3139,0.9,6.22,3,2,7
1760,0.57,5.31,1,3,5
10282,1.53,7.39,1,6,4
789,0.31,4.39,2,4,2
6353,1.01,6.22,5,4,4
17218,2.31,8.34,1,6,7
918,0.32,4.45,2,4,1
17383,2.01,8.09,2,5,6
8184,1.11,6.65,3,4,6
13873,1.61,7.52,2,5,5
8242,1.51,7.32,6,6,6
1371,0.59,5.49,2,3,7
5884,1.2,6.88,3,6,5
12531,1.75,7.77,2,6,5
854,0.33,4.41,2,4,4
4983,1.02,6.44,2,2,7
7216,1.18,6.76,2,1,6
758,0.32,4.44,1,1,5
981,0.43,4.84,2,2,5
4538,1.09,6.45,1,1,7
421,0.3,4.29,3,2,7
1737,0.64,5.59,2,4,6
6887,1.21,6.97,3,5,5
6918,1.12,6.64,2,4,4
648,0.32,4.35,1,5,5
684,0.31,4.33,2,1,6
1573,0.57,5.38,2,5,5
900,0.32,4.36,2,2,5
755,0.42,4.84,3,5,5
13034,1.52,7.35,1,4,4
5192,1.22,6.75,3,5,7
9650,1.09,6.59,2,1,4
1882,0.51,5.16,2,1,5
15785,2.02,8.0,2,5,7
