carat,y,cut,color,clarity
1.1,6.6,1,5,7
0.51,5.1,2,6,6
2.03,8.09,1,4,6
1.21,6.91,1,3,6
0.55,5.22,2,3,6
0.7,5.79,1,5,6
0.59,5.47,2,2,5
0.54,5.25,2,5,2
0.9,6.24,1,1,7
1.33,7.17,2,3,1
0.78,5.95,2,2,5
0.31,4.41,2,2,6
0.38,4.68,2,5,6
0.93,6.09,6,4,6
0.35,4.59,1,2,5
1.0,6.35,6,5,6
0.62,5.7,5,3,6
1.01,6.53,2,7,6
0.35,4.6,2,6,5
0.9,6.33,3,1,7
0.3,4.32,1,1,5
1.24,6.89,1,4,4
0.3,4.26,1,5,2
1.18,6.87,3,2,3
1.04,6.59,2,5,7
1.23,7.05,3,2,6
1.21,6.99,1,3,7
0.36,4.56,6,6,4
0.71,5.55,6,3,6
2.52,8.52,6,4,7
0.34,4.48,2,2,6
0.99,6.47,2,5,6
1.16,6.73,2,1,5
1.27,6.86,1,6,5
0.5,5.11,2,2,5
0.57,5.37,3,4,5
0.28,4.26,3,2,2
0.7,5.72,1,6,3
2.0,8.23,1,3,6
0.24,4.0,6,3,4
0.33,4.39,1,4,2
1.2,6.72,1,5,6
0.64,5.75,6,3,4
1.21,6.95,1,5,7
0.7,5.57,5,3,7
0.42,4.84,2,4,1
1.0,6.54,3,1,6
1.01,6.4,2,2,6
0.9,6.25,1,2,7
0.51,5.19,3,5,5
0.32,4.4,2,1,7
0.3,4.4,2,2,5
0.3,4.25,3,5,4
0.71,5.76,3,4,4
1.13,6.75,1,2,7
0.32,4.43,2,4,3
1.0,6.15,5,3,6
0.68,5.91,6,3,6
0.59,5.39,2,2,4
0.3,4.36,2,3,1
1.33,7.17,1,3,7
1.11,6.66,2,4,4
0.55,5.44,6,3,6
0.9,6.17,3,2,6
0.9,6.19,3,4,6
1.5,7.16,6,7,6
0.7,5.72,2,5,4
0.9,6.03,5,5,5
0.37,4.6,3,2,5
0.34,4.45,3,2,5
0.92,6.27,3,3,4
1.0,6.04,5,1,6
0.58,5.12,5,3,8
1.09,6.6,2,2,7
0.8,5.82,6,5,5
2.01,8.15,1,4,6
2.15,8.16,2,6,6
1.81,7.68,1,6,5
0.4,4.75,2,2,6
1.55,7.46,3,5,5
0.9,6.09,6,4,6
1.1,6.65,2,5,4
1.12,6.69,2,5,4
1.11,6.6,3,1,2
1.33,6.99,1,6,5
1.6,7.63,3,5,4
0.51,5.35,6,4,3
1.5,7.38,2,4,7
0.4,4.73,2,4,2
0.5,5.01,1,1,4
2.02,8.05,2,6,7
1.12,6.61,1,5,6
0.53,5.15,1,4,4
0.39,4.67,3,7,2
0.66,5.57,1,1,4
0.4,4.81,1,1,5
0.45,4.73,6,1,5
0.9,5.99,3,2,7
0.42,4.77,2,2,5
1.53,7.35,1,7,2
0.35,4.56,2,4,4
0.72,5.71,1,7,6
0.9,6.06,1,6,5
0.47,4.82,5,2,6
1.25,6.93,2,1,7
0.31,4.41,2,4,2
1.71,7.5,6,4,7
0.31,4.4,2,2,1
0.3,4.26,1,1,6
0.9,6.19,1,1,6
0.94,5.97,5,5,6
1.02,6.47,3,2,5
0.5,5.22,2,3,6
0.5,4.82,5,3,8
0.8,5.98,2,1,4
0.91,6.3,6,2,8
2.02,8.1,1,4,6
0.51,5.14,2,4,5
0.4,4.79,2,2,4
0.41,4.76,2,1,7
0.3,4.23,3,6,6
1.15,6.8,2,2,2
0.3,4.32,2,5,6
0.9,6.19,3,7,4
1.39,7.19,3,2,4
0.42,4.95,3,4,4
0.55,5.33,2,3,7
0.71,5.73,2,5,6
0.52,5.22,2,3,1
0.9,6.16,3,4,5
0.59,5.42,2,4,6
0.7,5.71,2,7,5
0.31,4.37,2,3,5
0.3,4.38,1,4,4
0.34,4.41,1,5,5
0.71,5.78,1,1,6
0.32,4.34,3,5,7
0.72,5.76,2,7,6
1.06,6.46,1,4,6
0.76,5.86,3,3,5
0.3,4.27,3,5,5
1.5,7.27,1,7,3
0.53,5.17,3,1,7
2.11,8.13,3,3,7
1.07,6.55,2,7,5
0.32,4.43,2,3,4
0.57,5.37,3,5,5
1.69,7.6,3,2,5
1.11,6.64,2,1,3
0.92,6.24,3,1,4
0.92,6.26,3,3,6
1.01,6.56,2,2,3
0.34,4.53,6,2,6
0.78,5.85,3,5,7
1.01,6.35,3,3,7
1.0,6.38,3,5,6
1.24,6.76,1,3,6
1.66,7.6,1,1,6
0.54,5.25,1,4,2
1.58,7.5,2,2,6
0.7,5.7,2,2,6
1.0,6.27,6,6,6
0.33,4.45,2,7,7
1.0,6.56,3,1,7
0.7,5.73,3,2,6
0.35,4.51,2,2,5
0.38,4.66,1,5,5
1.02,6.59,1,3,7
0.71,5.95,6,4,1
1.76,7.83,2,4,5
1.51,7.43,2,6,4
1.27,7.04,1,3,4
0.71,5.64,1,5,7
1.55,7.36,2,2,6
0.25,4.1,3,3,2
0.42,4.72,1,4,6
0.4,4.76,3,3,4
0.3,4.33,2,2,5
0.57,5.29,1,3,7
1.21,6.79,1,5,7
0.41,4.79,1,3,3
0.71,5.7,3,6,6
0.7,5.66,1,4,4
0.29,4.32,3,2,3
0.81,5.95,1,5,4
0.31,4.48,3,2,6
1.0,6.34,6,2,6
1.2,6.74,1,6,4
1.07,6.59,3,3,4
2.05,8.14,1,7,4
1.36,7.16,2,5,6
0.81,5.96,2,5,6
0.72,5.71,1,3,6
0.33,4.51,2,5,2
1.02,6.4,6,6,7
1.51,7.29,3,7,6
0.9,6.09,6,2,7
1.02,6.34,1,4,5
0.85,5.65,5,5,8
1.04,6.56,2,3,1
0.41,4.85,2,5,6
0.4,4.72,1,1,5
0.38,4.66,1,4,5
1.01,6.42,3,3,5
0.9,6.28,3,4,3
1.34,7.0,1,4,7
0.46,4.96,3,2,5
0.64,5.54,3,1,5
1.22,6.89,1,4,5
0.93,6.39,6,4,6
0.25,4.06,2,5,2
1.04,6.51,2,2,7
0.76,5.92,2,6,6
0.54,5.36,2,4,6
0.41,4.79,2,3,2
1.5,7.4,6,4,5
0.41,4.78,2,2,3
1.13,6.7,1,2,7
1.37,7.18,1,4,7
0.25,4.03,3,2,2
0.55,5.26,2,1,4
0.7,5.75,2,2,6
1.04,6.6,2,3,6
0.43,4.86,1,3,2
0.3,4.37,2,5,1
0.32,4.41,1,5,5
0.75,5.9,1,1,7
1.11,6.66,2,4,6
0.38,4.63,1,4,5
0.29,4.32,1,2,6
1.01,6.31,6,4,7
1.06,6.25,5,4,7
1.27,6.98,1,4,6
0.33,4.49,2,2,5
0.36,4.61,2,3,5
0.8,5.84,1,7,5
0.33,4.42,1,4,6
0.7,5.69,2,3,6
1.24,6.79,3,4,7
0.55,5.29,3,2,2
0.23,3.95,3,2,5
0.7,5.71,2,5,4
2.54,8.65,3,5,7
0.28,4.26,2,3,3
0.52,5.11,1,3,8
0.49,5.14,1,5,5
0.7,5.56,5,5,4
0.32,4.36,2,1,5
1.52,7.39,1,5,4
0.31,4.35,1,1,6
0.52,5.18,3,2,7
0.5,5.13,3,3,5
0.39,4.69,2,3,1
0.37,4.7,3,5,4
0.32,4.4,2,5,4
0.32,4.35,6,1,6
1.51,7.35,1,4,4
0.4,4.81,2,4,6
0.31,4.32,3,1,6
1.55,7.4,2,2,6
0.32,4.47,3,6,6
1.31,7.01,3,5,5
1.5,7.25,6,5,7
1.07,6.62,3,5,5
0.56,5.3,2,4,5
1.52,7.45,1,1,7
1.01,6.45,2,6,8
0.78,5.97,2,4,7
0.3,4.33,1,4,5
0.54,5.15,1,2,6
0.39,4.75,2,4,3
1.21,6.79,1,7,5
0.9,6.22,2,6,6
0.32,4.45,2,2,2
1.52,7.3,1,6,5
0.31,4.31,1,5,6
0.41,4.83,2,2,3
1.0,6.2,5,6,5
0.36,4.61,2,4,7
0.7,5.9,3,5,6
0.39,4.69,2,1,4
1.53,7.35,6,2,6
0.54,5.33,2,5,1
1.51,7.31,1,7,5
0.28,4.15,6,2,6
1.01,6.42,6,3,1
1.21,6.85,3,3,4
0.75,5.77,2,4,7
0.39,4.79,3,3,6
0.53,5.19,2,1,7
0.44,4.88,3,6,5
1.28,6.84,1,5,7
0.5,5.05,6,3,5
1.38,7.12,2,4,2
0.31,4.34,6,3,6
1.21,6.83,2,2,4
0.7,5.73,3,1,6
0.52,5.18,2,4,5
0.43,4.82,2,2,6
0.96,6.07,5,3,8
1.64,7.64,1,5,6
0.56,5.35,1,5,4
0.73,5.85,1,2,6
0.9,6.2,2,6,5
1.26,6.9,1,6,5
0.6,5.48,2,4,5
0.37,4.59,6,4,4
0.29,4.29,3,2,4
0.42,4.82,2,1,6
1.51,7.35,2,7,4
0.56,5.32,3,4,5
1.0,6.41,1,1,7
2.01,8.05,1,6,6
0.51,5.11,6,2,6
1.01,6.44,2,4,5
1.38,7.01,6,7,7
0.4,4.87,3,1,5
1.56,7.39,2,7,6
1.31,6.86,3,6,6
0.74,5.83,2,5,4
0.51,5.14,2,1,5
0.84,5.98,1,2,5
0.41,4.74,1,3,5
0.31,4.39,2,4,4
0.32,4.44,2,1,6
1.21,6.64,5,7,7
0.31,4.41,2,1,5
0.36,4.54,2,1,6
0.7,5.82,6,4,2
0.71,5.82,2,1,5
2.02,8.11,2,6,6
