id,carat,y,cut,color,clarity
0,1.1,6.6,1,5,7
1,0.51,5.1,2,6,6
2,2.03,8.09,1,4,6
3,1.21,6.91,1,3,6
4,0.55,5.22,2,3,6
5,0.7,5.79,1,5,6
6,0.59,5.47,2,2,5
7,0.54,5.25,2,5,2
8,0.9,6.24,1,1,7
9,1.33,7.17,2,3,1
10,0.78,5.95,2,2,5
11,0.31,4.41,2,2,6
12,0.38,4.68,2,5,6
13,0.93,6.09,6,4,6
14,0.35,4.59,1,2,5
15,1.0,6.35,6,5,6
16,0.62,5.7,5,3,6
17,1.01,6.53,2,7,6
18,0.35,4.6,2,6,5
19,0.9,6.33,3,1,7
20,0.3,4.32,1,1,5
21,1.24,6.89,1,4,4
22,0.3,4.26,1,5,2
23,1.18,6.87,3,2,3
24,1.04,6.59,2,5,7
25,1.23,7.05,3,2,6
26,1.21,6.99,1,3,7
27,0.36,4.56,6,6,4
28,0.71,5.55,6,3,6
29,2.52,8.52,6,4,7
30,0.34,4.48,2,2,6
31,0.99,6.47,2,5,6
32,1.16,6.73,2,1,5
33,1.27,6.86,1,6,5
34,0.5,5.11,2,2,5
35,0.57,5.37,3,4,5
36,0.28,4.26,3,2,2
37,0.7,5.72,1,6,3
38,2.0,8.23,1,3,6
39,0.24,4.0,6,3,4
40,0.33,4.39,1,4,2
41,1.2,6.72,1,5,6
42,0.64,5.75,6,3,4
43,1.21,6.95,1,5,7
44,0.7,5.57,5,3,7
45,0.42,4.84,2,4,1
46,1.0,6.54,3,1,6
47,1.01,6.4,2,2,6
48,0.9,6.25,1,2,7
49,0.51,5.19,3,5,5
50,0.32,4.4,2,1,7
51,0.3,4.4,2,2,5
52,0.3,4.25,3,5,4
53,0.71,5.76,3,4,4
54,1.13,6.75,1,2,7
55,0.32,4.43,2,4,3
56,1.0,6.15,5,3,6
57,0.68,5.91,6,3,6
58,0.59,5.39,2,2,4
59,0.3,4.36,2,3,1
60,1.33,7.17,1,3,7
61,1.11,6.66,2,4,4
62,0.55,5.44,6,3,6
63,0.9,6.17,3,2,6
